index,Invoice total by day,Vendor ID,Vendor,Geo Region Group
2022-02-06,0.0,1001,A,Caribbean
2022-02-07,28877.15,1001,A,Caribbean
2022-02-08,41598.53,1001,A,Caribbean
2022-02-09,19841.0,1001,A,Caribbean
2022-02-10,4660.23,1001,A,Caribbean
2022-02-11,9927.5,1001,A,Caribbean
2022-02-12,0.0,1001,A,Caribbean
2022-02-13,0.0,1001,A,Caribbean
2022-02-14,2327.5,1001,A,Caribbean
2022-02-15,828.36,1001,A,Caribbean
2022-02-16,7986.1,1001,A,Caribbean
2022-02-17,9998.56,1001,A,Caribbean
2022-02-18,3801.43,1001,A,Caribbean
2022-02-19,0.0,1001,A,Caribbean
2022-02-20,0.0,1001,A,Caribbean
2022-02-21,0.0,1001,A,Caribbean
2022-02-22,0.0,1001,A,Caribbean
2022-02-23,0.0,1001,A,Caribbean
2022-02-24,19239.41,1001,A,Caribbean
2022-02-25,0.0,1001,A,Caribbean
2022-02-26,0.0,1001,A,Caribbean
2022-02-27,0.0,1001,A,Caribbean
2022-02-28,35027.17,1001,A,Caribbean
2022-03-01,7521.9,1001,A,Caribbean
2022-03-02,13769.49,1001,A,Caribbean
2022-03-03,0.0,1001,A,Caribbean
2022-03-04,0.0,1001,A,Caribbean
2022-03-05,0.0,1001,A,Caribbean
2022-03-06,0.0,1001,A,Caribbean
2022-03-07,214.7,1001,A,Caribbean
2022-03-08,42315.73,1001,A,Caribbean
2022-03-09,50575.58,1001,A,Caribbean
2022-03-10,9307.45,1001,A,Caribbean
2022-03-11,6457.33,1001,A,Caribbean
2022-03-12,0.0,1001,A,Caribbean
2022-03-13,0.0,1001,A,Caribbean
2022-03-14,2212.55,1001,A,Caribbean
2022-03-15,0.0,1001,A,Caribbean
2022-03-16,0.0,1001,A,Caribbean
2022-03-17,1047.85,1001,A,Caribbean
2022-03-18,3780.45,1001,A,Caribbean
2022-03-19,0.0,1001,A,Caribbean
2022-03-20,0.0,1001,A,Caribbean
2022-03-21,2548.07,1001,A,Caribbean
2022-03-22,10488.95,1001,A,Caribbean
2022-03-23,4871.79,1001,A,Caribbean
2022-03-24,4139.15,1001,A,Caribbean
2022-03-25,0.0,1001,A,Caribbean
2022-03-26,0.0,1001,A,Caribbean
2022-03-27,0.0,1001,A,Caribbean
2022-03-28,6268.06,1001,A,Caribbean
2022-03-29,0.0,1001,A,Caribbean
2022-03-30,2718.0,1001,A,Caribbean
2022-03-31,4329.15,1001,A,Caribbean
2022-04-01,0.0,1001,A,Caribbean
2022-04-02,0.0,1001,A,Caribbean
2022-04-03,0.0,1001,A,Caribbean
2022-04-04,3072.3,1001,A,Caribbean
2022-04-05,16302.55,1001,A,Caribbean
2022-04-06,5380.8,1001,A,Caribbean
2022-04-07,0.0,1001,A,Caribbean
2022-04-08,0.0,1001,A,Caribbean
2022-04-09,0.0,1001,A,Caribbean
2022-04-10,0.0,1001,A,Caribbean
2022-04-11,1933.0,1001,A,Caribbean
2022-04-12,8358.1,1001,A,Caribbean
2022-04-13,7397.65,1001,A,Caribbean
2022-04-14,14532.58,1001,A,Caribbean
2022-04-15,10803.48,1001,A,Caribbean
2022-04-16,0.0,1001,A,Caribbean
2022-04-17,0.0,1001,A,Caribbean
2022-04-18,0.0,1001,A,Caribbean
2022-04-19,0.0,1001,A,Caribbean
2022-04-20,0.0,1001,A,Caribbean
2022-04-21,2042.18,1001,A,Caribbean
2022-04-22,15005.25,1001,A,Caribbean
2022-04-23,0.0,1001,A,Caribbean
2022-04-24,0.0,1001,A,Caribbean
2022-04-25,0.0,1001,A,Caribbean
2022-04-26,0.0,1001,A,Caribbean
2022-04-27,18715.6,1001,A,Caribbean
2022-04-28,0.0,1001,A,Caribbean
2022-04-29,0.0,1001,A,Caribbean
2022-04-30,9129.25,1001,A,Caribbean
2022-05-01,11214.6,1001,A,Caribbean
2022-05-02,16191.2,1001,A,Caribbean
2022-05-03,5688.6,1001,A,Caribbean
2022-05-04,0.0,1001,A,Caribbean
2022-05-05,0.0,1001,A,Caribbean
2022-05-06,2108.05,1001,A,Caribbean
2022-05-07,0.0,1001,A,Caribbean
2022-05-08,0.0,1001,A,Caribbean
2022-05-09,21746.52,1001,A,Caribbean
2022-05-10,0.0,1001,A,Caribbean
2022-05-11,6798.2,1001,A,Caribbean
2022-05-12,2155.53,1001,A,Caribbean
2022-05-13,3287.0,1001,A,Caribbean
2022-05-14,0.0,1001,A,Caribbean
2022-05-15,0.0,1001,A,Caribbean
2022-05-16,0.0,1001,A,Caribbean
2022-05-17,0.0,1001,A,Caribbean
2022-05-18,11993.1,1001,A,Caribbean
2022-05-19,3112.28,1001,A,Caribbean
2022-05-20,0.0,1001,A,Caribbean
2022-05-21,0.0,1001,A,Caribbean
2022-05-22,0.0,1001,A,Caribbean
2022-05-23,0.0,1001,A,Caribbean
2022-05-24,0.0,1001,A,Caribbean
2022-05-25,816.28,1001,A,Caribbean
2022-05-26,13974.5,1001,A,Caribbean
2022-05-27,8432.15,1001,A,Caribbean
2022-05-28,0.0,1001,A,Caribbean
2022-05-29,0.0,1001,A,Caribbean
2022-05-30,3327.41,1001,A,Caribbean
2022-05-31,7430.2,1001,A,Caribbean
2022-06-01,0.0,1001,A,Caribbean
2022-06-02,0.0,1001,A,Caribbean
2022-06-03,0.0,1001,A,Caribbean
2022-06-04,0.0,1001,A,Caribbean
2022-06-05,0.0,1001,A,Caribbean
2022-06-06,0.0,1001,A,Caribbean
2022-06-07,0.0,1001,A,Caribbean
2022-06-08,28293.33,1001,A,Caribbean
2022-06-09,61913.51,1001,A,Caribbean
2022-06-10,3970.05,1001,A,Caribbean
2022-06-11,0.0,1001,A,Caribbean
2022-06-12,0.0,1001,A,Caribbean
2022-06-13,3933.0,1001,A,Caribbean
2022-06-14,7328.35,1001,A,Caribbean
2022-06-15,20283.84,1001,A,Caribbean
2022-06-16,1543.0,1001,A,Caribbean
2022-06-17,0.0,1001,A,Caribbean
2022-06-18,0.0,1001,A,Caribbean
2022-06-19,0.0,1001,A,Caribbean
2022-06-20,0.0,1001,A,Caribbean
2022-06-21,0.0,1001,A,Caribbean
2022-06-22,3113.5,1001,A,Caribbean
2022-06-23,0.0,1001,A,Caribbean
2022-06-24,4105.46,1001,A,Caribbean
2022-06-25,0.0,1001,A,Caribbean
2022-06-26,0.0,1001,A,Caribbean
2022-06-27,0.0,1001,A,Caribbean
2022-06-28,16795.0,1001,A,Caribbean
2022-06-29,11150.67,1001,A,Caribbean
2022-06-30,0.0,1001,A,Caribbean
2022-07-01,24813.0,1001,A,Caribbean
2022-07-02,0.0,1001,A,Caribbean
2022-07-03,0.0,1001,A,Caribbean
2022-07-04,4558.75,1001,A,Caribbean
2022-07-05,0.0,1001,A,Caribbean
2022-07-06,0.0,1001,A,Caribbean
2022-07-07,7124.0,1001,A,Caribbean
2022-07-08,2082.0,1001,A,Caribbean
2022-07-09,0.0,1001,A,Caribbean
2022-07-10,0.0,1001,A,Caribbean
2022-07-11,0.0,1001,A,Caribbean
2022-07-12,25465.8,1001,A,Caribbean
2022-07-13,3937.0,1001,A,Caribbean
2022-07-14,37023.79,1001,A,Caribbean
2022-07-15,0.0,1001,A,Caribbean
2022-07-16,0.0,1001,A,Caribbean
2022-07-17,0.0,1001,A,Caribbean
2022-07-18,0.0,1001,A,Caribbean
2022-07-19,10371.9,1001,A,Caribbean
2022-07-20,0.0,1001,A,Caribbean
2022-07-21,0.0,1001,A,Caribbean
2022-07-22,4072.5,1001,A,Caribbean
2022-07-23,0.0,1001,A,Caribbean
2022-07-24,0.0,1001,A,Caribbean
2022-07-25,1900.15,1001,A,Caribbean
2022-07-26,0.0,1001,A,Caribbean
2022-07-27,0.0,1001,A,Caribbean
2022-07-28,2916.0,1001,A,Caribbean
2022-07-29,0.0,1001,A,Caribbean
2022-07-30,0.0,1001,A,Caribbean
2022-07-31,0.0,1001,A,Caribbean
2022-08-01,0.0,1001,A,Caribbean
2022-08-02,0.0,1001,A,Caribbean
2022-08-03,40919.5,1001,A,Caribbean
2022-08-04,11362.73,1001,A,Caribbean
2022-08-05,0.0,1001,A,Caribbean
2022-08-06,0.0,1001,A,Caribbean
2022-08-07,0.0,1001,A,Caribbean
2022-08-08,23504.29,1001,A,Caribbean
2022-08-09,8396.25,1001,A,Caribbean
2022-08-10,6439.65,1001,A,Caribbean
2022-08-11,6887.5,1001,A,Caribbean
2022-08-12,0.0,1001,A,Caribbean
2022-08-13,0.0,1001,A,Caribbean
2022-08-14,0.0,1001,A,Caribbean
2022-08-15,0.0,1001,A,Caribbean
2022-08-16,7299.75,1001,A,Caribbean
2022-08-17,643.35,1001,A,Caribbean
2022-08-18,0.0,1001,A,Caribbean
2022-08-19,26025.6,1001,A,Caribbean
2022-08-20,0.0,1001,A,Caribbean
2022-08-21,0.0,1001,A,Caribbean
2022-08-22,1609.25,1001,A,Caribbean
2022-08-23,0.0,1001,A,Caribbean
2022-08-24,8292.1,1001,A,Caribbean
2022-08-25,2109.5,1001,A,Caribbean
2022-08-26,2237.5,1001,A,Caribbean
2022-08-27,0.0,1001,A,Caribbean
2022-08-28,0.0,1001,A,Caribbean
2022-08-29,6223.11,1001,A,Caribbean
2022-08-30,8582.0,1001,A,Caribbean
2022-08-31,0.0,1001,A,Caribbean
2022-09-01,0.0,1001,A,Caribbean
2022-09-02,0.0,1001,A,Caribbean
2022-09-03,0.0,1001,A,Caribbean
2022-09-04,0.0,1001,A,Caribbean
2022-09-05,0.0,1001,A,Caribbean
2022-09-06,3645.0,1001,A,Caribbean
2022-09-07,0.0,1001,A,Caribbean
2022-09-08,0.0,1001,A,Caribbean
2022-09-09,6917.0,1001,A,Caribbean
2022-09-10,0.0,1001,A,Caribbean
2022-09-11,0.0,1001,A,Caribbean
2022-09-12,62592.05,1001,A,Caribbean
2022-09-13,28767.0,1001,A,Caribbean
2022-09-14,0.0,1001,A,Caribbean
2022-09-15,0.0,1001,A,Caribbean
2022-09-16,0.0,1001,A,Caribbean
2022-09-17,0.0,1001,A,Caribbean
2022-09-18,0.0,1001,A,Caribbean
2022-09-19,0.0,1001,A,Caribbean
2022-09-20,8274.48,1001,A,Caribbean
2022-09-21,6034.47,1001,A,Caribbean
2022-09-22,14416.95,1001,A,Caribbean
2022-09-23,1991.0,1001,A,Caribbean
2022-09-24,0.0,1001,A,Caribbean
